source_name,medium,geography,website,raw_website_or_email,twitter_handle,verification_status,original_status,priority,monitoring_method,include_in_v1,notes
WTOP,Radio,DMV,https://wtop.com,wtop.com,@WTOP,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WAMU,Radio,DMV,https://american.edu,american.edu,@wamu885,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WAMU,Radio,DMV,https://wamu.org,wamu.org,@wamu885,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
Federal News Network,Radio,DC,https://federalnewsnetwork.com,federalnewsnetwork.com,@FederalNewsNet,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WMAL,Radio,DMV,https://wmal.com,wmal.com,@WMALDC,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,Primary active account. @wmalnews also exists.
WDVM,TV,DMV,https://dcnewsnow.com,dcnewsnow.com,@DCNewsNow,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,WDVM rebranded as DC News Now.
WDCW,TV,DMV,https://tribunemedia.com,tribunemedia.com,@DCW50,likely_inactive,Legacy / likely inactive,high,gdelt_broadcast_test;website_check;public_social_search,yes,WDCW now operates under the DC News Now brand. @DCW50 is the legacy CW50 account and may be inactive.
WRC,TV,DMV,https://nbcwashington.com,nbcwashington.com,@nbcwashington,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WTTG,TV,DMV,https://fox5dc.com,fox5dc.com,@fox5dc,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WJLA,TV,DMV,https://wjla.com,wjla.com,@7NewsDC,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
WUSA,TV,DMV,https://wusa9.com,wusa9.com,@wusa9,verified,Verified,high,gdelt_broadcast_test;website_check;public_social_search,yes,
Univisión,TV,DMV,https://univision.com/local/washington-dc-wfdc,univision.com/local/washington-dc-wfdc,,needs_verification,Not verified,high,gdelt_broadcast_test;website_check,yes,"Rebranded ""Univision 14 Washington D.C."" Station handle not confirmed."
Arlington Independent Media,TV,Arlington,,heffmunson@heffmunson.com,,needs_verification,Not verified,high,gdelt_broadcast_test;website_check,yes,No active account found.
ARLnow,Online,Arlington,https://arlnow.com,arlnow.com,@ARLnowDOTcom,verified,Verified,medium,rss_or_site_check;gdelt_news;public_social_search,yes,"Handle is @ARLnowDOTcom, NOT @ARLnow. Display name ""Arlington Now""."
ALXnow,Online,Alexandria,https://alxnow.com,alxnow.com,,needs_verification,Not verified,medium,rss_or_site_check;gdelt_news,yes,Part of Local News Now (same publisher as ARLnow/FFXnow). Handle not confirmed; do not assume @ALXnow.
Alexandria Times,Online/Print,Alexandria,https://alextimes.com,alextimes.com,,needs_verification,Not verified,medium,rss_or_site_check;gdelt_news,yes,Not confirmed.
